name,mana_cost,type_line,oracle_text,rarity,set,collector_number
Knight Luminary,{3}{W},Creature — Human Knight,"When this creature enters, create a 1/1 white Human Soldier creature token.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,23
Lightstall Inquisitor,{W},Creature — Angel Wizard,"Vigilance
When this creature enters, each opponent exiles a card from their hand and may play that card for as long as it remains exiled. Each spell cast this way costs {1} more to cast. Each land played this way enters tapped.",rare,eoe,24
Lumen-Class Frigate,{1}{W},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)
2+ | Other creatures you control get +1/+1.
12+ | Flying, lifelink",rare,eoe,25
Luxknight Breacher,{3}{W},Creature — Human Knight,This creature enters with a +1/+1 counter on it for each other creature and/or artifact you control.,common,eoe,26
Pinnacle Starcage,{1}{W}{W},Artifact,"When this artifact enters, exile all artifacts and creatures with mana value 2 or less until this artifact leaves the battlefield.
{6}{W}{W}: Put each card exiled with this artifact into its owner's graveyard, then create a 2/2 colorless Robot artifact creature token for each card put into a graveyard this way. Sacrifice this artifact.",rare,eoe,27
Pulsar Squadron Ace,{1}{W},Creature — Human Pilot,"When this creature enters, look at the top five cards of your library. You may reveal a Spacecraft card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, put a +1/+1 counter on this creature.",uncommon,eoe,28
Radiant Strike,{3}{W},Instant,Destroy target artifact or tapped creature. You gain 3 life.,common,eoe,29
Rayblade Trooper,{2}{W},Creature — Human Soldier,"When this creature enters, put a +1/+1 counter on target creature you control.
Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Human Soldier creature token.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,30
Reroute Systems,{W},Instant,"Choose one —
• Target artifact or creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Reroute Systems deals 2 damage to target tapped creature.",uncommon,eoe,31
Rescue Skiff,{5}{W},Artifact — Spacecraft,"When this Spacecraft enters, return target creature or enchantment card from your graveyard to the battlefield.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 10+.)
10+ | Flying",uncommon,eoe,32
Scout for Survivors,{2}{W},Sorcery,Return up to three target creature cards with total mana value 3 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of them.,uncommon,eoe,33
Seam Rip,{W},Enchantment,"When this enchantment enters, exile target nonland permanent an opponent controls with mana value 2 or less until this enchantment leaves the battlefield.",uncommon,eoe,34
The Seriema,{1}{W}{W},Legendary Artifact — Spacecraft,"When The Seriema enters, search your library for a legendary creature card, reveal it, put it into your hand, then shuffle.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying
Other tapped legendary creatures you control have indestructible.",rare,eoe,35
Squire's Lightblade,{W},Artifact — Equipment,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains first strike until end of turn.
Equipped creature gets +1/+0.
Equip {3}",common,eoe,36
Starfield Shepherd,{3}{W}{W},Creature — Angel,"Flying
When this creature enters, search your library for a basic Plains card or a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,37
Starfighter Pilot,{1}{W},Creature — Human Pilot,"Whenever this creature becomes tapped, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",common,eoe,38
Starport Security,{W},Artifact Creature — Robot Soldier,"{3}{W}, {T}: Tap another target creature. This ability costs {2} less to activate if you control a creature with a +1/+1 counter on it.",common,eoe,39
Sunstar Chaplain,{1}{W},Creature — Human Cleric,"At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on target creature you control.
{2}, Remove a +1/+1 counter from a creature you control: Tap target artifact or creature.",rare,eoe,40
Sunstar Expansionist,{1}{W},Creature — Human Knight,"When this creature enters, if an opponent controls more lands than you, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Landfall — Whenever a land you control enters, this creature gets +1/+0 until end of turn.",uncommon,eoe,41
Sunstar Lightsmith,{3}{W},Creature — Human Artificer,"Whenever you cast your second spell each turn, put a +1/+1 counter on this creature and draw a card.",uncommon,eoe,42
Wedgelight Rammer,{3}{W},Artifact — Spacecraft,"When this Spacecraft enters, create a 2/2 colorless Robot artifact creature token.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
9+ | Flying, first strike",uncommon,eoe,43
Weftblade Enhancer,{5}{W},Creature — Drix Artificer,"When this creature enters, put a +1/+1 counter on each of up to two target creatures.
Warp {2}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,44
Zealous Display,{2}{W},Instant,"Creatures you control get +2/+0 until end of turn. If it's not your turn, untap those creatures.",common,eoe,45
Annul,{U},Instant,Counter target artifact or enchantment spell.,uncommon,eoe,46
Atomic Microsizer,{U},Artifact — Equipment,"Equipped creature gets +1/+0.
Whenever equipped creature attacks, choose up to one target creature. That creature can't be blocked this turn and has base power and toughness 1/1 until end of turn.
Equip {2}",uncommon,eoe,47
Cerebral Download,{4}{U},Instant,"Surveil X, where X is the number of artifacts you control. Then draw three cards. (To surveil X, look at the top X cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",uncommon,eoe,48
Cloudsculpt Technician,{2}{U},Creature — Jellyfish Artificer,"Flying
As long as you control an artifact, this creature gets +1/+0.",common,eoe,49
Codecracker Hound,{2}{U},Creature — Dog,"When this creature enters, look at the top two cards of your library. Put one into your hand and the other into your graveyard.
Warp {2}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,50
Consult the Star Charts,{1}{U},Instant,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Look at the top X cards of your library, where X is the number of lands you control. Put one of those cards into your hand. If this spell was kicked, put two of those cards into your hand instead. Put the rest on the bottom of your library in a random order.",rare,eoe,51
Cryogen Relic,{1}{U},Artifact,"When this artifact enters or leaves the battlefield, draw a card.
{1}{U}, Sacrifice this artifact: Put a stun counter on up to one target tapped creature. (If a permanent with a stun counter would become untapped, remove one from it instead.)",common,eoe,52
Cryoshatter,{U},Enchantment — Aura,"Enchant creature
Enchanted creature gets -5/-0.
When enchanted creature becomes tapped or is dealt damage, destroy it.",common,eoe,53
Desculpting Blast,{1}{U},Instant,"Return target nonland permanent to its owner's hand. If it was attacking, create a 1/1 colorless Drone artifact creature token with flying and ""This token can block only creatures with flying.""",uncommon,eoe,54
Divert Disaster,{1}{U},Instant,"Counter target spell unless its controller pays {2}. If they do, you create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",common,eoe,55
Emissary Escort,{1}{U},Artifact Creature — Robot Soldier,"This creature gets +X/+0, where X is the greatest mana value among other artifacts you control.",rare,eoe,56
Gigastorm Titan,{4}{U},Creature — Elemental,This spell costs {3} less to cast if you've cast another spell this turn.,uncommon,eoe,57
Illvoi Galeblade,{U},Creature — Jellyfish Warrior,"Flash
Flying
{2}, Sacrifice this creature: Draw a card.",common,eoe,58
Illvoi Infiltrator,{2}{U},Creature — Jellyfish Rogue,"This creature can't be blocked if you've cast two or more spells this turn.
Whenever this creature deals combat damage to a player, draw a card.",uncommon,eoe,59
Illvoi Light Jammer,{1}{U},Artifact — Equipment,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Equipped creature gets +1/+2.
Equip {3}",common,eoe,60
Illvoi Operative,{1}{U},Creature — Jellyfish Rogue,"Whenever you cast your second spell each turn, put a +1/+1 counter on this creature.",common,eoe,61
Lost in Space,{3}{U},Instant,Target artifact or creature's owner puts it on their choice of the top or bottom of their library. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),common,eoe,62
Mechan Assembler,{4}{U},Artifact Creature — Robot Artificer,"Whenever another artifact you control enters, create a 2/2 colorless Robot artifact creature token. This ability triggers only once each turn.",uncommon,eoe,63
Mechan Navigator,{1}{U},Artifact Creature — Robot Pilot,"Whenever this creature becomes tapped, draw a card, then discard a card.",uncommon,eoe,64
Mechan Shieldmate,{1}{U},Artifact Creature — Robot Soldier,"Defender
As long as an artifact entered the battlefield under your control this turn, this creature can attack as though it didn't have defender.",common,eoe,65
Mechanozoa,{4}{U}{U},Artifact Creature — Robot Jellyfish,"When this creature enters, tap target artifact or creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Warp {2}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,66
Mental Modulation,{1}{U},Instant,"This spell costs {1} less to cast during your turn.
Tap target artifact or creature.
Draw a card.",common,eoe,67
"Mm'menon, the Right Hand",{3}{U}{U},Legendary Creature — Jellyfish Advisor,"Flying
You may look at the top card of your library any time.
You may cast artifact spells from the top of your library.
Artifacts you control have ""{T}: Add {U}. Spend this mana only to cast a spell from anywhere other than your hand.""",rare,eoe,68
Moonlit Meditation,{2}{U},Enchantment — Aura,"Enchant artifact or creature you control
The first time you would create one or more tokens each turn, you may instead create that many tokens that are copies of enchanted permanent.",rare,eoe,69
Mouth of the Storm,{6}{U},Creature — Elemental,"Flying
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, creatures your opponents control get -3/-0 until your next turn.",uncommon,eoe,70
Nanoform Sentinel,{2}{U},Artifact Creature — Robot,"Whenever this creature becomes tapped, untap another target permanent. This ability triggers only once each turn.",common,eoe,71
Quantum Riddler,{3}{U}{U},Creature — Sphinx,"Flying
When this creature enters, draw a card.
As long as you have one or fewer cards in hand, if you would draw one or more cards, you draw that many cards plus one instead.
Warp {1}{U}",mythic,eoe,72
Scour for Scrap,{3}{U},Instant,"Choose one or both —
• Search your library for an artifact card, reveal it, put it into your hand, then shuffle.
• Return target artifact card from your graveyard to your hand.",uncommon,eoe,73
Selfcraft Mechan,{3}{U},Artifact Creature — Robot Artificer,"When this creature enters, you may sacrifice an artifact. When you do, put a +1/+1 counter on target creature and draw a card.",common,eoe,74
Sinister Cryologist,{2}{U},Creature — Jellyfish Wizard,"When this creature enters, target creature an opponent controls gets -3/-0 until end of turn.
Warp {U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,75
Specimen Freighter,{5}{U},Artifact — Spacecraft,"When this Spacecraft enters, return up to two target non-Spacecraft creatures to their owners' hands.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
9+ | Flying
Whenever this Spacecraft attacks, defending player mills four cards.",uncommon,eoe,76
Starbreach Whale,{4}{U},Creature — Whale,"Flying
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,77
Starfield Vocalist,{3}{U},Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,78
Starwinder,{5}{U}{U},Creature — Leviathan,"Whenever a creature you control deals combat damage to a player, you may draw that many cards.
Warp {2}{U}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,79
Steelswarm Operator,{1}{U},Artifact Creature — Robot Soldier,"Flying
{T}: Add {U}. Spend this mana only to cast an artifact spell.
{T}: Add {U}{U}. Spend this mana only to activate abilities of artifact sources.",uncommon,eoe,80
Synthesizer Labship,{U},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
2+ | At the beginning of combat on your turn, up to one other target artifact you control becomes an artifact creature with base power and toughness 2/2 and gains flying until end of turn.
9+ | Flying, vigilance",rare,eoe,81
Tractor Beam,{2}{U}{U},Enchantment — Aura,"Enchant creature or Spacecraft
When this Aura enters, tap enchanted permanent.
You control enchanted permanent.
Enchanted permanent doesn't untap during its controller's untap step.",uncommon,eoe,82
Unravel,{1}{U}{U},Instant,"Counter target spell. If the amount of mana spent to cast that spell was less than its mana value, you draw a card.",uncommon,eoe,83
Uthros Psionicist,{2}{U},Creature — Jellyfish Scientist,The second spell you cast each turn costs {2} less to cast.,uncommon,eoe,84
Uthros Scanship,{3}{U},Artifact — Spacecraft,"When this Spacecraft enters, draw two cards, then discard a card.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying",uncommon,eoe,85
Weftwalking,{4}{U}{U},Enchantment,"When this enchantment enters, if you cast it, shuffle your hand and graveyard into your library, then draw seven cards.
The first spell each player casts during each of their turns may be cast without paying its mana cost.",mythic,eoe,86
"Alpharael, Stonechosen",{3}{B}{B},Legendary Creature — Human Cleric,"Ward—Discard a card at random.
Void — Whenever Alpharael attacks, if a nonland permanent left the battlefield this turn or a spell was warped this turn, defending player loses half their life, rounded up.",mythic,eoe,87
Archenemy's Charm,{B}{B}{B},Instant,"Choose one —
• Exile target creature or planeswalker.
• Return one or two target creature and/or planeswalker cards from your graveyard to your hand.
• Put two +1/+1 counters on target creature you control. It gains lifelink until end of turn.",rare,eoe,88
Beamsaw Prospector,{1}{B},Creature — Human Artificer,"When this creature dies, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",common,eoe,89
Blade of the Swarm,{3}{B},Creature — Insect Assassin,"When this creature enters, choose one —
• Put two +1/+1 counters on this creature.
• Put target exiled card with warp on the bottom of its owner's library.",uncommon,eoe,90
Chorale of the Void,{3}{B},Enchantment — Aura,"Enchant creature you control
Whenever enchanted creature attacks, put target creature card from defending player's graveyard onto the battlefield under your control tapped and attacking.
Void — At the beginning of your end step, sacrifice this Aura unless a nonland permanent left the battlefield this turn or a spell was warped this turn.",rare,eoe,91
Comet Crawler,{2}{B},Creature — Insect Horror,"Lifelink
Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, this creature gets +2/+0 until end of turn.",common,eoe,92
Dark Endurance,{1}{B},Instant,"This spell costs {1} less to cast if it targets a blocking creature.
Target creature gets +2/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,eoe,93
Decode Transmissions,{2}{B},Sorcery,"You draw two cards and lose 2 life.
Void — If a nonland permanent left the battlefield this turn or a spell was warped this turn, instead you draw two cards and each opponent loses 2 life.",common,eoe,94
Depressurize,{1}{B},Instant,"Target creature gets -3/-0 until end of turn. Then if that creature's power is 0 or less, destroy it.",common,eoe,95
Dubious Delicacy,{2}{B},Artifact — Food,"Flash
When this artifact enters, up to one target creature gets -3/-3 until end of turn.
{2}, {T}, Sacrifice this artifact: You gain 3 life.
{2}, {T}, Sacrifice this artifact: Target opponent loses 3 life.",uncommon,eoe,96
Elegy Acolyte,{2}{B}{B},Creature — Human Cleric,"Lifelink
Whenever one or more creatures you control deal combat damage to a player, you draw a card and lose 1 life.
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, create a 2/2 colorless Robot artifact creature token.",rare,eoe,97
Embrace Oblivion,{B},Sorcery,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Destroy target creature or Spacecraft.",common,eoe,98
Entropic Battlecruiser,{3}{B},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
1+ | Whenever an opponent discards a card, they lose 3 life.
8+ | Flying, deathtouch
Whenever this Spacecraft attacks, each opponent discards a card. Each opponent who can't loses 3 life.",rare,eoe,99
Faller's Faithful,{2}{B},Creature — Human Wizard,"When this creature enters, destroy up to one other target creature. If that creature wasn't dealt damage this turn, its controller draws two cards.",uncommon,eoe,100
Fell Gravship,{2}{B},Artifact — Spacecraft,"When this Spacecraft enters, mill three cards, then return a creature or Spacecraft card from your graveyard to your hand.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying, lifelink",uncommon,eoe,101
Gravblade Heavy,{3}{B},Creature — Human Soldier,"As long as you control an artifact, this creature gets +1/+0 and has deathtouch.",common,eoe,102
Gravkill,{3}{B},Instant,Exile target creature or Spacecraft.,common,eoe,103
Gravpack Monoist,{2}{B},Creature — Human Scout,"Flying
When this creature dies, create a tapped 2/2 colorless Robot artifact creature token.",common,eoe,104
Hullcarver,{B},Artifact Creature — Robot Assassin,Deathtouch,common,eoe,105
Hylderblade,{B},Artifact — Equipment,"Equipped creature gets +3/+1.
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, attach this Equipment to target creature you control.
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",uncommon,eoe,106
Hymn of the Faller,{1}{B},Sorcery,"Surveil 1, then you draw a card and lose 1 life. (To surveil 1, look at the top card of your library. You may put it into your graveyard.)
Void — If a nonland permanent left the battlefield this turn or a spell was warped this turn, draw another card.",uncommon,eoe,107
Insatiable Skittermaw,{2}{B},Creature — Insect Horror,"Menace (This creature can't be blocked except by two or more creatures.)
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.",common,eoe,108
Lightless Evangel,{1}{B},Creature — Vampire Cleric,"Whenever you sacrifice another creature or artifact, put a +1/+1 counter on this creature.",uncommon,eoe,109
Monoist Circuit-Feeder,{4}{B}{B},Artifact Creature — Nautilus,"Flying
When this creature enters, until end of turn, target creature you control gets +X/+0 and target creature an opponent controls gets -0/-X, where X is the number of artifacts you control.",uncommon,eoe,110
Monoist Sentry,{B},Artifact Creature — Robot,Defender,uncommon,eoe,111
Perigee Beckoner,{4}{B},Creature — Horror,"When this creature enters, until end of turn, another target creature you control gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""
Warp {1}{B} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,112
Requiem Monolith,{2}{B},Artifact,"{T}: Until end of turn, target creature gains ""Whenever this creature is dealt damage, you draw that many cards and lose that much life."" That creature's controller may have this artifact deal 1 damage to it. Activate only as a sorcery.",rare,eoe,113
Scrounge for Eternity,{2}{B},Sorcery,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Return target creature or Spacecraft card with mana value 5 or less from your graveyard to the battlefield. Then create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",uncommon,eoe,114
"Sothera, the Supervoid",{2}{B}{B},Legendary Enchantment,"Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",mythic,eoe,115
Sunset Saboteur,{1}{B},Creature — Human Rogue,"Menace
Ward—Discard a card.
Whenever this creature attacks, put a +1/+1 counter on target creature an opponent controls.",rare,eoe,116
Susurian Dirgecraft,{4}{B},Artifact — Spacecraft,"When this Spacecraft enters, each opponent sacrifices a nontoken creature of their choice.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying",uncommon,eoe,117
Susurian Voidborn,{2}{B},Creature — Vampire Soldier,"Whenever this creature or another creature or artifact you control dies, target opponent loses 1 life and you gain 1 life.
Warp {B} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,118
Swarm Culler,{3}{B},Creature — Insect Warrior,"Flying
Whenever this creature becomes tapped, you may sacrifice another creature or artifact. If you do, draw a card.",common,eoe,119
Temporal Intervention,{2}{B},Sorcery,"Void — This spell costs {2} less to cast if a nonland permanent left the battlefield this turn or a spell was warped this turn.
Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.",common,eoe,120
Timeline Culler,{B}{B},Creature — Drix Warlock,"Haste
You may cast this card from your graveyard using its warp ability.
Warp—{B}, Pay 2 life. (You may cast this card from your hand or graveyard for its warp cost. If you do, exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,121
Tragic Trajectory,{B},Sorcery,"Target creature gets -2/-2 until end of turn.
Void — That creature gets -10/-10 until end of turn instead if a nonland permanent left the battlefield this turn or a spell was warped this turn.",uncommon,eoe,122
Umbral Collar Zealot,{1}{B},Creature — Human Cleric,Sacrifice another creature or artifact: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),uncommon,eoe,123
Virus Beetle,{1}{B},Artifact Creature — Insect,"When this creature enters, each opponent discards a card.",common,eoe,124
Voidforged Titan,{4}{B},Artifact Creature — Robot Warrior,"Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, you draw a card and lose 1 life.",uncommon,eoe,125
Vote Out,{3}{B},Sorcery,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target creature.",uncommon,eoe,126
"Xu-Ifit, Osteoharmonist",{1}{B}{B},Legendary Creature — Human Wizard,{T}: Return target creature card from your graveyard to the battlefield. It's a Skeleton in addition to its other types and has no abilities. Activate only as a sorcery.,rare,eoe,127
Zero Point Ballad,{X}{B},Sorcery,"Destroy all creatures with toughness X or less. You lose X life. If X is 6 or more, return a creature card put into a graveyard this way to the battlefield under your control.",rare,eoe,128
Bombard,{2}{R},Instant,Bombard deals 4 damage to target creature.,common,eoe,129
Cut Propulsion,{2}{R},Instant,"Target creature deals damage to itself equal to its power. If that creature has flying, it deals twice that much damage to itself instead.",uncommon,eoe,130
Debris Field Crusher,{4}{R},Artifact — Spacecraft,"When this Spacecraft enters, it deals 3 damage to any target.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying
{1}{R}: This Spacecraft gets +2/+0 until end of turn.",uncommon,eoe,131
Devastating Onslaught,{X}{X}{R},Sorcery,Create X tokens that are copies of target artifact or creature you control. Those tokens gain haste until end of turn. Sacrifice them at the beginning of the next end step.,mythic,eoe,132
Drill Too Deep,{1}{R},Instant,"Choose one —
• Put five charge counters on target Spacecraft or Planet you control.
• Destroy target artifact.",common,eoe,133
Frontline War-Rager,{2}{R},Creature — Kavu Soldier,"At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on this creature.",common,eoe,134
